customer_key,customer_id,customer_number,firstname,lastname,marital_status,gender,country,birth_date
84,11083,AW00011083,Alyssa,Cox,Married,Female,United States,11-03-1977
85,11084,AW00011084,Lucas,Phillips,Single,Male,United States,12-03-1963
86,11085,AW00011085,Emily,Johnson,Single,Female,United States,16-01-1963
87,11086,AW00011086,Ryan,Brown,Married,Male,United States,22-06-1963
88,11087,AW00011087,Tamara,Liang,Married,Female,United States,02-04-1963
89,11088,AW00011088,Hunter,Davis,Married,Male,United States,25-05-1963
90,11089,AW00011089,Abigail,Price,Single,Female,United States,05-08-1962
91,11090,AW00011090,Trevor,Bryant,Single,Male,United States,13-12-1968
92,11091,AW00011091,Dalton,Perez,Married,Male,Canada,02-10-1962
93,11092,AW00011092,Cheryl,Diaz,Married,Female,Australia,02-11-1972
94,11093,AW00011093,Aimee,He,Married,Female,Australia,06-09-1978
95,11094,AW00011094,Cedric,Ma,Single,Male,Australia,29-09-1967
96,11095,AW00011095,Chad,Kumar,Single,Male,Australia,29-02-1968
97,11096,AW00011096,Andrés,Anand,Married,Male,Australia,07-02-1968
98,11097,AW00011097,Edwin,Nara,Married,Male,Australia,23-10-1972
99,11098,AW00011098,Mallory,Rubio,Single,Female,Australia,29-10-1966
100,11099,AW00011099,Adam,Ross,Married,Male,Australia,05-09-1966
101,11100,AW00011100,Latasha,Navarro,Single,Female,Australia,15-03-1966
102,11101,AW00011101,Abby,Sai,Single,Female,Australia,05-11-1970
103,11102,AW00011102,Julia,Nelson,Single,Female,Australia,19-10-1970
104,11103,AW00011103,Cassie,Chande,Single,Female,Australia,12-04-1981
105,11104,AW00011104,Edgar,Sara,Married,Male,Australia,08-03-1975
106,11105,AW00011105,Candace,Fernandez,Single,Female,Australia,27-06-1970
107,11106,AW00011106,Jessie,Liu,Single,Male,Australia,11-03-1970
108,11107,AW00011107,Bianca,Lin,Married,Female,Australia,04-03-1976
109,11108,AW00011108,Kari,Alvarez,Single,Female,Australia,10-01-1969
110,11109,AW00011109,Ruben,Kapoor,Single,Male,Australia,30-04-1980
111,11110,AW00011110,Curtis,Yang,Married,Male,Australia,04-12-1967
112,11111,AW00011111,Meredith,Gutierrez,Married,Female,Australia,23-08-1967
113,11112,AW00011112,Crystal,Wang,Married,Female,Australia,08-03-1968
114,11113,AW00011113,Micheal,Blanco,Married,Male,Australia,17-02-1973
115,11114,AW00011114,Leslie,Moreno,Single,Female,Australia,25-11-1967
116,11115,AW00011115,Alvin,Cai,Married,Male,Australia,12-08-1967
117,11116,AW00011116,Clinton,Carlson,Married,Male,Australia,02-04-1979
118,11117,AW00011117,April,Deng,Married,Female,Australia,21-08-1966
119,11118,AW00011118,Alvin,Zeng,Single,Male,Australia,31-12-1962
120,11119,AW00011119,Evan,James,Single,Male,Australia,07-10-1940
121,11120,AW00011120,Beth,Jiménez,Single,Female,Australia,06-02-1942
122,11121,AW00011121,Orlando,Suarez,Married,Male,Australia,18-05-1966
123,11122,AW00011122,Byron,Vazquez,Married,Male,Australia,30-09-1965
124,11123,AW00011123,Philip,Alvarez,Married,Male,Australia,18-12-1965
125,11124,AW00011124,Ross,Jordan,Single,Male,Australia,23-07-1968
126,11125,AW00011125,Dana,Navarro,Single,Female,Australia,06-10-1961
127,11126,AW00011126,Shaun,Carson,Married,Male,Australia,05-10-1954
128,11127,AW00011127,Jan,Edwards,Married,Female,United States,19-04-1981
129,11128,AW00011128,Samantha,Long,Married,Female,United States,03-06-1981
130,11129,AW00011129,Julia,Wright,Single,Female,United States,01-02-1981
131,11130,AW00011130,Caroline,Russell,Married,Female,United States,05-07-1985
132,11131,AW00011131,Amanda,Rivera,Married,Female,Canada,09-09-1985
133,11132,AW00011132,Melissa,Richardson,Single,Female,Canada,25-04-1986
134,11133,AW00011133,Angela,Griffin,Single,Female,United States,08-03-1986
135,11134,AW00011134,Larry,Townsend,Single,Male,Australia,22-02-1957
136,11135,AW00011135,Marcus,Harris,Single,Male,United States,02-05-1985
137,11136,AW00011136,Brianna,Morgan,Single,Female,Canada,24-04-1984
138,11137,AW00011137,Jasmine,Taylor,Married,Female,United States,17-01-1984
139,11138,AW00011138,Lauren,Davis,Married,Female,United States,14-03-1984
140,11139,AW00011139,Tanya,Moreno,Single,Female,Australia,05-11-1949
141,11140,AW00011140,Javier,Alvarez,Single,Male,United States,11-08-1982
142,11141,AW00011141,Nicole,Ramirez,Married,Female,United States,19-12-1982
143,11142,AW00011142,Eduardo,Patterson,Single,Male,Canada,11-02-1983
144,11143,AW00011143,Jonathan,Henderson,Married,Male,United States,04-08-1982
145,11144,AW00011144,Edward,Hernandez,Single,Male,United States,08-03-1985
146,11145,AW00011145,Jasmine,Coleman,Single,Female,United States,06-06-1985
147,11146,AW00011146,Karla,Goel,Single,Female,Australia,22-02-1945
148,11147,AW00011147,Ernest,Wu,Married,Male,Australia,04-08-1944
149,11148,AW00011148,Ross,Vazquez,Married,Male,Australia,13-02-1947
150,11149,AW00011149,Theodore,Gill,Married,Male,Australia,18-10-1946
151,11150,AW00011150,Russell,Shen,Single,Male,Australia,12-09-1946
152,11151,AW00011151,Melinda,Gill,Single,Female,Australia,25-08-1947
153,11152,AW00011152,James,Williams,Single,Male,United States,09-07-1981
154,11153,AW00011153,Angela,James,Married,Female,United States,21-12-1981
155,11154,AW00011154,Megan,Walker,Single,Female,United States,18-02-1982
156,11155,AW00011155,Hunter,Robinson,Single,Male,United States,25-07-1981
157,11156,AW00011156,Maria,Roberts,Single,Female,United States,06-08-1981
158,11157,AW00011157,Hannah,Long,Married,Female,United States,08-12-1980
159,11158,AW00011158,Jason,Wright,Single,Male,United States,06-04-1981
160,11159,AW00011159,Brianna,Hughes,Single,Female,United States,16-03-1981
161,11160,AW00011160,Maurice,Tang,Single,Male,United States,08-07-1979
162,11161,AW00011161,Emily,Wood,Single,Female,United States,20-10-1979
163,11162,AW00011162,Chase,Cox,Single,Male,United States,02-09-1979
164,11163,AW00011163,Gabriel,Wang,Married,Male,United States,18-06-1980
165,11164,AW00011164,Devin,Brooks,Single,Male,United States,02-11-1979
166,11165,AW00011165,Jocelyn,Alexander,Married,Female,United States,15-01-1979
167,11166,AW00011166,Ashley,Martinez,Single,Female,United States,22-10-1977
168,11167,AW00011167,Jasmine,Barnes,Single,Female,United States,29-01-1978
169,11168,AW00011168,David,Rodriguez,Single,Male,United States,12-11-1973
170,11169,AW00011169,Bryce,Richardson,Married,Male,United States,20-12-1973
171,11170,AW00011170,Carol,Howard,Married,Female,United States,04-08-1973
172,11171,AW00011171,Jonathan,Hill,Single,Male,United States,05-10-1978
173,11172,AW00011172,Gabrielle,Adams,Married,Female,United States,20-05-1973
174,11173,AW00011173,Sarah,Thomas,Single,Female,United States,28-02-1973
175,11174,AW00011174,Nicholas,Robinson,Married,Male,United States,09-01-1973
176,11175,AW00011175,Luis,Wang,Single,Male,United States,01-09-1968
177,11176,AW00011176,Mason,Roberts,Married,Male,Canada,21-01-1979
178,11177,AW00011177,Jose,Flores,Married,Male,United States,01-01-1948
179,11178,AW00011178,Nathan,Johnson,Married,Male,United States,20-08-1954
180,11179,AW00011179,Molly,Rodriguez,Married,Female,United States,08-12-1959
181,11180,AW00011180,April,Anand,Married,Female,United States,01-07-1948
182,11181,AW00011181,Devin,Martin,Married,Male,United States,01-02-1960
183,11182,AW00011182,Stephanie,Torres,Single,Female,United States,22-02-1950
184,11183,AW00011183,Jasmine,Lee,Single,Female,United States,12-01-1950
185,11184,AW00011184,Meghan,Hernandez,Single,Female,United States,13-11-1955
186,11185,AW00011185,Ashley,Henderson,Single,Female,Canada,07-04-1950
187,11186,AW00011186,Sarah,Price,Single,Female,United States,18-11-1949
188,11187,AW00011187,Jennifer,Cooper,Married,Female,United States,21-08-1949
189,11188,AW00011188,Catherine,Morris,Married,Female,United States,06-03-1950
190,11189,AW00011189,Lawrence,Blanco,Single,Male,United States,12-01-1950
191,11190,AW00011190,Carson,Bryant,Married,Male,United States,20-12-1949
192,11191,AW00011191,Kristi,Perez,Single,Female,United States,17-06-1951
193,11192,AW00011192,James,Brown,Married,Male,United States,13-03-1951
194,11193,AW00011193,Ian,Gray,Married,Male,United States,13-08-1950
195,11194,AW00011194,Jacqueline,Price,Married,Female,United States,08-12-1950
196,11195,AW00011195,Megan,Henderson,Married,Female,United States,10-08-1951
197,11196,AW00011196,Alfredo,Romero,Married,Male,United States,05-12-1951
198,11197,AW00011197,Andrea,Morris,Married,Female,United States,16-12-1951
199,11198,AW00011198,Brooke,Sanders,Single,Female,United States,25-05-1952
200,11199,AW00011199,Jacqueline,Bennett,Married,Female,United States,02-11-1957
201,11200,AW00011200,Jason,Griffin,Married,Male,Canada,21-05-1953
202,11201,AW00011201,Amanda,Foster,Married,Female,United States,14-02-1953
203,11202,AW00011202,Alexia,Price,Married,Female,United States,22-08-1958
204,11203,AW00011203,Luis,Diaz,Married,Male,Canada,18-08-1959
205,11204,AW00011204,Destiny,Rivera,Married,Female,United States,29-11-1953
206,11205,AW00011205,Abby,Fernandez,Married,Female,United States,21-01-1954
207,11206,AW00011206,Blake,Flores,Married,Male,United States,24-03-1954
208,11207,AW00011207,Danielle,Cox,Single,Female,United States,16-01-1954
209,11208,AW00011208,Maria,Reed,Married,Female,United States,03-08-1953
210,11209,AW00011209,Allison,Evans,Married,Female,United States,12-07-1953
211,11210,AW00011210,Edward,Wood,Married,Male,United States,06-12-1953
212,11211,AW00011211,Samantha,Russell,Married,Female,Canada,08-10-1960
213,11212,AW00011212,Chloe,Campbell,Married,Female,Canada,05-05-1955
214,11213,AW00011213,Stephanie,Murphy,Single,Female,United States,11-11-1954
215,11214,AW00011214,Charles,Miller,Single,Male,United States,07-05-1955
216,11215,AW00011215,Ana,Perry,Married,Female,Canada,17-06-1961
217,11216,AW00011216,Jasmine,Torres,Single,Female,United States,17-11-1955
218,11217,AW00011217,Natalie,Adams,Single,Female,United States,11-08-1955
219,11218,AW00011218,Olivia,Brown,Single,Female,United States,07-09-1961
220,11219,AW00011219,Charles,Cook,Married,Male,United States,31-05-1956
221,11220,AW00011220,Erica,Huang,Married,Female,United States,19-02-1961
222,11221,AW00011221,Nathan,Perry,Married,Male,United States,08-12-1955
223,11222,AW00011222,Alexandra,Rivera,Married,Female,United States,14-02-1956
224,11223,AW00011223,Hailey,Patterson,Single,Female,Canada,15-03-1957
225,11224,AW00011224,Tiffany,Li,Single,Female,United States,05-03-1957
226,11225,AW00011225,Madison,Lee,Married,Female,United States,12-02-1962
227,11226,AW00011226,Sydney,Ross,Married,Female,United States,23-09-1962
228,11227,AW00011227,Marshall,Chavez,Single,Male,United States,08-08-1962
229,11228,AW00011228,Ashley,Jones,Married,Female,United States,16-10-1956
230,11229,AW00011229,Adrian,Stewart,Single,Male,United States,01-06-1957
231,11230,AW00011230,Amber,Turner,Married,Female,United States,30-09-1956
232,11231,AW00011231,Dennis,Zhang,Married,Male,United States,11-11-1963
233,11232,AW00011232,Hailey,Bryant,Married,Female,United States,27-03-1958
234,11233,AW00011233,Todd,Li,Married,Male,United States,06-09-1963
235,11234,AW00011234,Anna,Griffin,Single,Female,United States,19-05-1958
236,11235,AW00011235,Angel,Stewart,Married,Male,United States,07-08-1957
237,11236,AW00011236,Jeremy,Butler,Single,Male,United States,02-09-1957
238,11237,AW00011237,Clarence,Anand,Single,Male,Germany,22-03-1964
239,11238,AW00011238,Mayra,Prasad,Single,Female,United Kingdom,07-02-1964
240,11239,AW00011239,Latoya,Goel,Married,Female,United Kingdom,02-10-1969
241,11240,AW00011240,Anne,Hernandez,Married,Female,United Kingdom,09-06-1964
242,11241,AW00011241,Lisa,Cai,Single,Female,France,06-04-1974
243,11242,AW00011242,Larry,Munoz,Married,Male,France,11-05-1963
244,11243,AW00011243,Robin,Alvarez,Married,Female,United Kingdom,08-04-1963
245,11244,AW00011244,Alexis,Coleman,Single,Female,United Kingdom,22-11-1968
246,11245,AW00011245,Ricky,Vazquez,Married,Male,Germany,26-04-1962
247,11246,AW00011246,Latasha,Rubio,Married,Female,Germany,08-04-1962
248,11247,AW00011247,Claudia,Zhou,Single,Female,United Kingdom,04-12-1961
249,11248,AW00011248,Tristan,Alexander,Married,Male,France,22-03-1966
250,11249,AW00011249,Cindy,Patel,Married,Female,Germany,09-07-1966
251,11250,AW00011250,Shannon,Liu,Married,Female,United Kingdom,08-03-1966
252,11251,AW00011251,Xavier,Long,Single,Male,Canada,01-01-1938
253,11252,AW00011252,Nicholas,Thompson,Single,Male,United States,05-12-1937
254,11253,AW00011253,José,Hernandez,Married,Male,Canada,24-08-1949
255,11254,AW00011254,Johnathan,Vance,Married,Male,United States,31-08-1938
256,11255,AW00011255,Colin,Lin,Married,Male,United States,02-10-1938
257,11256,AW00011256,Katelyn,Hernandez,Married,Female,United States,20-03-1939
258,11257,AW00011257,Jacqueline,Powell,Single,Female,United States,
259,11258,AW00011258,Xavier,Hill,Married,Male,United States,26-12-1938
260,11259,AW00011259,Victoria,Stewart,Married,Female,United States,24-09-1970
261,11260,AW00011260,Katelyn,Kelly,Married,Female,United States,08-04-1976
262,11261,AW00011261,Stephanie,Collins,Married,Female,United States,22-10-1970
263,11262,AW00011262,Jennifer,Simmons,Married,Female,Canada,01-05-1975
264,11263,AW00011263,Trinity,Richardson,Married,Female,United States,11-03-1970
265,11264,AW00011264,Eduardo,Martin,Single,Male,United States,15-12-1969
266,11265,AW00011265,Elizabeth,Jones,Married,Female,United States,10-01-1970
267,11266,AW00011266,Taylor,Howard,Single,Female,United States,02-11-1969
268,11267,AW00011267,David,Diaz,Single,Male,United States,29-09-1975
269,11268,AW00011268,Katelyn,Carter,Married,Female,United States,31-10-1969
270,11269,AW00011269,Ryan,Foster,Married,Male,United States,10-10-1975
271,11270,AW00011270,Robert,Lee,Married,Male,United States,01-05-1975
272,11271,AW00011271,Danielle,Reed,Single,Female,United States,03-12-1969
273,11272,AW00011272,Lauren,Martinez,Single,Female,United States,10-05-1962
274,11273,AW00011273,Nathan,Lal,Married,Male,United States,31-03-1962
275,11274,AW00011274,Kyle,Foster,Married,Male,United States,10-10-1939
276,11275,AW00011275,Jenny,Rai,Married,Female,United States,18-07-1939
277,11276,AW00011276,Nancy,Chapman,Married,Female,Canada,15-09-1974
278,11277,AW00011277,Charles,Jackson,Married,Male,Canada,07-12-1968
279,11278,AW00011278,Jonathan,Phillips,Single,Male,United States,16-02-1969
280,11279,AW00011279,Amanda,Cook,Married,Female,United States,08-09-1974
281,11280,AW00011280,Robert,Collins,Married,Male,United States,17-02-1969
282,11281,AW00011281,Megan,Barnes,Single,Female,United States,06-10-1974
283,11282,AW00011282,Christian,Thomas,Married,Male,United States,16-07-1967
284,11283,AW00011283,Arturo,Lal,Married,Male,United States,24-04-1968
285,11284,AW00011284,Theresa,Serrano,Married,Female,United States,24-09-1967
286,11285,AW00011285,Jeremy,Anderson,Married,Male,United States,15-03-1973
287,11286,AW00011286,Hunter,Griffin,Married,Male,United States,31-08-1967
288,11287,AW00011287,Henry,Garcia,Married,Male,Canada,16-07-1966
289,11288,AW00011288,Cindy,Sanchez,Married,Female,United States,12-03-1978
290,11289,AW00011289,Maria,Carter,Married,Female,United States,03-03-1972
291,11290,AW00011290,Katelyn,Sanchez,Married,Female,United States,14-08-1972
292,11291,AW00011291,Jenna,Wright,Married,Female,United States,01-05-1972
293,11292,AW00011292,Seth,Phillips,Single,Male,United States,05-05-1967
294,11293,AW00011293,Luke,Long,Single,Male,United States,23-11-1960
295,11294,AW00011294,Dalton,Clark,Married,Male,United States,02-03-1961
296,11295,AW00011295,Taylor,Lewis,Single,Female,United States,13-11-1959
297,11296,AW00011296,Haley,Richardson,Single,Female,United States,05-04-1941
298,11297,AW00011297,Noah,Coleman,Single,Male,United States,01-08-1940
299,11298,AW00011298,Jon,Luo,Married,Male,United States,30-08-1940
300,11299,AW00011299,Orlando,Vazquez,Married,Male,United States,29-09-1941
301,11300,AW00011300,Fernando,Barnes,Married,Male,Canada,31-08-1965
302,11301,AW00011301,Cameron,Rodriguez,Married,Male,United States,07-12-1965
303,11302,AW00011302,Spencer,Russell,Single,Male,United States,09-12-1971
304,11303,AW00011303,Julia,Coleman,Single,Female,United States,10-04-1966
305,11304,AW00011304,Julia,Garcia,Married,Female,United States,14-03-1971
306,11305,AW00011305,Sean,Evans,Married,Male,United States,17-12-1965
307,11306,AW00011306,Micah,Zhou,Married,Male,United States,20-12-1965
308,11307,AW00011307,Hunter,Rodriguez,Married,Male,United States,31-10-1965
309,11308,AW00011308,Ian,Gonzales,Married,Male,United States,02-09-1959
310,11309,AW00011309,Victoria,Lewis,Single,Female,United States,10-12-1959
311,11310,AW00011310,Erin,Sanders,Single,Female,United States,05-07-1964
312,11311,AW00011311,Gabrielle,Lopez,Single,Female,United States,21-02-1959
313,11312,AW00011312,Sara,Richardson,Single,Female,United States,01-10-1958
314,11313,AW00011313,Trevor,Jenkins,Single,Male,United States,27-08-1958
315,11314,AW00011314,Mya,Flores,Single,Female,United States,16-06-1970
316,11315,AW00011315,Hailey,Ward,Single,Female,United States,31-03-1959
317,11316,AW00011316,Luke,Allen,Married,Male,Canada,17-05-1959
318,11317,AW00011317,Victoria,Russell,Single,Female,United States,14-09-1963
319,11318,AW00011318,Jessica,Wilson,Single,Female,United States,25-04-1958
320,11319,AW00011319,Jade,Bailey,Married,Female,United States,23-04-1948
321,11320,AW00011320,Morgan,Hill,Married,Female,United States,24-12-1942
322,11321,AW00011321,Terrance,Raman,Married,Male,United States,05-01-1944
323,11322,AW00011322,Sydney,Garcia,Married,Female,United States,12-09-1943
324,11323,AW00011323,Jose,Patterson,Single,Male,United States,18-12-1943
325,11324,AW00011324,Zachary,Anderson,Married,Male,United States,10-11-1944
326,11325,AW00011325,Elijah,Ross,Single,Male,United States,29-12-1944
327,11326,AW00011326,Rafael,Xie,Married,Male,United States,23-12-1944
328,11327,AW00011327,Jaime,Moreno,Married,Male,United States,01-09-1945
329,11328,AW00011328,Julian,Griffin,Married,Male,Canada,30-06-1945
330,11329,AW00011329,Andy,Alvarez,Single,Male,United States,22-01-1946
331,11330,AW00011330,Ryan,Thompson,Married,Male,Canada,10-11-1945
332,11331,AW00011331,Samantha,Jenkins,Married,Female,Canada,03-01-1974
333,11332,AW00011332,Deanna,Ramos,Single,Female,Germany,02-04-1968
334,11333,AW00011333,Emily,Miller,Married,Female,United Kingdom,07-01-1968
335,11334,AW00011334,Nicole,Brown,Married,Female,United Kingdom,19-09-1966
336,11335,AW00011335,Carla,Raman,Married,Female,Germany,18-12-1977
337,11336,AW00011336,Shaun,Raji,Married,Male,France,08-03-1973
338,11337,AW00011337,Jerome,Romero,Married,Male,United Kingdom,21-03-1967
339,11338,AW00011338,Frank,Navarro,Married,Male,Germany,06-08-1972
340,11339,AW00011339,Dennis,She,Single,Male,France,05-01-1967
341,11340,AW00011340,Melody,Munoz,Married,Female,France,03-04-1947
342,11341,AW00011341,Randy,Zeng,Married,Male,United Kingdom,18-02-1942
343,11342,AW00011342,Marshall,Wang,Married,Male,France,07-03-1973
344,11343,AW00011343,Arthur,Carlson,Married,Male,United Kingdom,09-03-1975
345,11344,AW00011344,Jessie,Jimenez,Married,Female,United Kingdom,21-01-1963
346,11345,AW00011345,Robin,Ramos,Single,Female,France,09-09-1962
347,11346,AW00011346,Deanna,Gutierrez,Single,Female,France,18-05-1966
348,11347,AW00011347,Roy,Navarro,Married,Male,Germany,17-06-1972
349,11348,AW00011348,Shawn,Rai,Married,Male,Germany,21-03-1961
350,11349,AW00011349,Mindy,Luo,Married,Female,Germany,30-08-1965
351,11350,AW00011350,Cara,Zhou,Married,Female,United Kingdom,14-07-1942
352,11351,AW00011351,Anne,Ramos,Single,Female,United Kingdom,02-04-1950
353,11352,AW00011352,Raymond,Rodriguez,Married,Male,France,04-09-1945
354,11353,AW00011353,Carrie,Ortega,Single,Female,United Kingdom,09-12-1946
355,11354,AW00011354,Deanna,Suarez,Married,Female,Germany,23-08-1947
356,11355,AW00011355,Roberto,Gutierrez,Married,Male,United Kingdom,26-06-1948
357,11356,AW00011356,Terrence,Carson,Single,Male,Australia,24-11-1985
358,11357,AW00011357,Ramon,Ye,Single,Male,Australia,19-09-1984
359,11358,AW00011358,Cynthia,Malhotra,Single,Female,Australia,10-05-1984
360,11359,AW00011359,Jarrod,Prasad,Single,Male,Australia,03-03-1984
361,11360,AW00011360,Tyrone,Serrano,Single,Male,Australia,30-01-1984
362,11361,AW00011361,Cindy,Ramos,Married,Female,Australia,26-10-1982
363,11362,AW00011362,Damien,Shan,Married,Male,Australia,11-05-1983
364,11363,AW00011363,Julian,Ross,Single,Male,Australia,19-04-1983
365,11364,AW00011364,Jennifer,Collins,Single,Female,Australia,22-03-1985
366,11365,AW00011365,Brittney,Sun,Single,Female,Australia,06-12-1984
367,11366,AW00011366,Virginia,Patel,Married,Female,Australia,23-04-1985
368,11367,AW00011367,Calvin,Nara,Married,Male,Australia,21-08-1984
369,11368,AW00011368,Edward,Miller,Single,Male,Australia,24-05-1984
370,11369,AW00011369,Ashlee,Tang,Married,Female,Australia,01-02-1984
371,11370,AW00011370,Alicia,Xu,Married,Female,Australia,29-09-1983
372,11371,AW00011371,Lacey,Jai,Married,Female,Australia,24-11-1983
373,11372,AW00011372,Wendy,Romero,Single,Female,Australia,12-11-1983
374,11373,AW00011373,Carly,Luo,Married,Female,Germany,16-09-1954
375,11374,AW00011374,Jimmy,Ortega,Single,Male,Germany,25-12-1948
376,11375,AW00011375,Francisco,Martinez,Married,Male,United Kingdom,05-11-1948
377,11376,AW00011376,Lance,Vazquez,Single,Male,United Kingdom,07-12-1948
